id,Réseau Social,Class,Commentaire client
45,Facebook,4,دخلو لنا الفيبر امبعد ساهل😮‍💨نعلمكم أن تغطية جميع مناطق الوطن بالالياف البصرية من ضمن أولويات إتصالات الجزائر والتي نعمل عليها جاهدين حتى نتمكن من تزويدكم بها في أقرب الآجال. شكراً لتفهمكم 🙏
46,Facebook,4,دخلو لنا الفيبر امبعد ساهل😮‍💨
47,Facebook,4,عقبولنا ومبعد ساهل
48,Facebook,4,vوفروا لمودام أمبعد ساهل
49,Facebook,4,وين راه الفيبر؟ رانا نستناو مكان والو
50,Facebook,4,المشكل ان خدمة الفيبر غير متوفرة
51,Facebook,4,2050 راح تكون متاحة للجميع اصبرو برك
52,Facebook,4,العروض كاينة و الفيبر مكانش
53,Facebook,4,وين راهي لافيبر وين راهي وفروها من بعد ساهل
54,Facebook,4,وين راه الفيبر مزال مالحقناش
55,Facebook,4,العروض كثيرة ومغرية بصح الفيبر مازال مالحقش مانعرف علاش أغلب الأحياء في ولاية تبسة لحقها الفيبر مي أنا في حي البلدية مازال ماكانش
56,Facebook,4,حتى عام 3000
57,Facebook,4,الفيلاج لي نسكن فيه مافيهش أصلا الأنترنت لا كابل نحاسي لا ألياف بصرية وبعاد على المدينة ب 5 كلم
58,Facebook,4,وصلونا الفيبر
59,Facebook,4,ياأخي عندنا لادياسال ولكن الفيبر ماكان حتى خبر عليه..هاجيبولنا الفيبر يرحم والديكم
60,Facebook,4,وصلونا fibre من بعد أحكولنا على العروض
61,Instagram,4,مازلنا ننتظر الألياف البصرية ونحن داخل المدينة
62,Facebook,4,ولايات تخدم وولايات راقدة ولايات كملو مع الفيبر وراهم مع البلديات والدوائر والمداشر وولايات اخرى مكملوش مع ولايتهم لحد الان
63,Facebook,4,#بلدية_النزلة_حي_الحرية_الى_متى_يتم_ربطه_بالالياف_االبصرية
64,Facebook,4,مزال موصلش للحي وكاين بزاف لي قدامنا وصلهم
65,Facebook,4,حنا مكانش لكوابل اصلا لا الفيبر ولا العادي نحس في رواحنا رانا من مكان اخر حي 100 مسكن لاسيتي ليوة .
66,Facebook,4,بسكرة وسط المدينة كل مافيهاش الألياف البصرية
67,Facebook,4,J'habite au centre ville de mostaganem et j'ai pas accès à la fibre je suis client de février 2007
68,Instagram,4,خصونا ليمودام فيبر في ولاية باتنة
69,Instagram,4,اين الوعد الذي اطلقتموه بأن 2024 ستكملون التغطية الجزائر بلالياف البصرية😢 سوف تدخل 2025 وانتم لم تصل للهدف و🔥 ويعني ذالك فشل كبير🤏🤏🤏
70,Twitter,4,نهار ديرونا الفيبر ومبعد ساهل
71,Facebook,4,جبلنا مودام
72,Facebook,4,بغليزان ،يوجد مجمع سكني بني مؤخرا يبعد حوالي 200 متر تم تركيب بلهم الألياف البصرية و مجمعنا المبني منذ 2012 لايوجد، مازلنا بـ ADSL ، تواصلنا مع وكالة غليزان، لكن لحد الساعة لا جديد..
73,Facebook,4,نريد الفيبر اتصالات الجزائر 🥺
74,Facebook,4,Biskra quand la fibre
75,Facebook,4,بعد ما نموتو بش ديرولنا لفايبر
76,Facebook,4,في انتظار وصول الفيبر
77,Facebook,4,رانا غير نسمعو علي لافيبر مشنا ولووووو
78,Facebook,4,واحنا لمزال ملحقناش فايبر وين لحل؟ الجلفة راها متوقفة عملية التبديل من adsl الى فايبر اقول متوقفة متوقفة ما سبب ومتقولوليش جملتكم المشهورة تاع كوبي كولي (نعلمكم ان عملية التغطية...... عبر كامل التراب الوطني.....) وتكتبلي في الاخير اسم الفتاة لدرت كوبي كولي. اكرر متوقفة ما السبب؟
79,Facebook,4,في انتظار وصول الفيبر لوادي سوف بالكامل.
80,Facebook,4,اين الفيبر؟!؟ ولاية سوق اهراس محتكرين الفيبر الا في ولاية وسط وفقط ودوائر قريبة لاحياة لمن تنادي😏
81,Instagram,4,ديرولنا la fibre برك
82,Facebook,4,Fibre كاش واحد وصلوله الفيبر؟
83,Facebook,4,Algérie Télécom - إتصالات الجزائر في ولايتنا نسمعو غير ان كل شيء متوقف الى اشعار آخر بسبب عدم وجود معدات
84,Facebook,4,غير تفكرونا وارواحو ديرولنا لافيبر
85,Facebook,4,المودام غير متوفر في ولاية الجلفة منذ 6 اشهر ومبعد اهدر على الترويج
86,Facebook,4,الحي عندنا غير مزود بالخدمة متي تكون متوفرة
87,Facebook,4,أوصلوا لنا هذا الفيبر بعين الدفلى قبل العروض 
88,Facebook,4,غير تفكرونا وارواحو زودونا بالخط
89,Facebook,4,وين هادي في بارك افوراج مكانش ADSL ومكانش
90,Facebook,4,علاش ديرو عروض ونتوما مش قادرين عليها
91,Facebook,4,المودام هدا تمدوه غير وين بسكن فلان أو فلان الأحياء الشعبية الزواولة هدوك مكاش ماتمدولهمش
92,Facebook,4,واش التمسخير هذا ان نحوس على المودام
93,Facebook,4,بدلونا الكوابل النحاسية و عوضوهم بالفيبر و من بعد ساهلة نشتاركو
94,Facebook,4,زاوية كنتة غير معنية بمشروع الفيير
95,Facebook,4,جيبو الموديم ومن بعد ساهل
96,Facebook,4,وصلونا الفيبر اومباعد ساهل
97,Facebook,4,عنابة اكبر ولايات و زيد وسط المدينة تعج بالناس و المحلات لكن فيبر مكانش علاه مانعرف
98,Facebook,4,جيبولنا الفيبر. وساهل الحال
99,Facebook,4,ونحن متى يصلنا هذا فيبر أوبتيك.....
100,Facebook,4,في بلدية تبسة حي جبل الجرف لحد الآن ما داروش الفييبر
101,Facebook,4,رانا نعانوا من التهميش والحڨرة الانترنت في حي 190حوان 1965(المونديال) لاتوجدوفي العمارات توجد مع أن العمارت تم تدشينهم وسكنهم بعد حيينا بسنوات
102,Facebook,4,الفيبر مازال مطول
103,Instagram,4,ياودي دنيا دارولهم كامل الفيبر الا حنا بالرغم اقدم مكان دايرين الانترنات شكينا قالولنا مكانش مشروع اصلا
104,Facebook,4,مكانش لنترنت في حي الزيادية ولاية قسنطينة
105,Facebook,4,وصلولنا الفيبر وامبعد الهدرة
106,Facebook,4,حنا مناطق الظل معندناش فايبر في قريتنا
107,Facebook,4,وصلوه ومبعد اهدرو
108,Facebook,4,انا ركبوها عندنا ملقري قرية بلدية صغيرة
109,Facebook,4,المشكل راكم تهدروا برك رانا فالبرج ماكاش قاع الفيبر.....مازالها ADSL.....
110,Facebook,4,كاين مناطق الضل كاش نهار تطلع عليهم الشمس 🌞
111,Facebook,4,علبة الفيبر راكبة في الحي و لكن لا يوجد توصيل للمنزل للان
112,Facebook,4,وصلونا فيبر ومنبعدا كلش ساهل
113,Facebook,4,هادو لي هنا كامل دايرينهمم الفيبر 🥱
114,Twitter,4,كي تغطيو المناطق اومبعد نهدرو
115,Facebook,4,روحو شوفو حال الدوار و مناطق الضل رانا بعاد على اسم التطور .حتى 2G مزال موصلنهاش 
116,Facebook,4,متى يزود حي محمد عية بلدية قصر الحيران بالاغواط بالالياف البصرية
117,Facebook,4,الحي الترقوي طريق العزار لم تصلنا بعد خدمة الألياف البصرية
118,Facebook,4,j'ai un petit probleme l'orsque je veut me loger sur espace client nr l internet et mot de passe il me repete a chaque fois pour finaliser votre inscrip tion verrifier votr mail
119,Facebook,4,نعلمكم اننا نكثف من جهودنا من أجل مواصلة تعميم ونشر هذه التكنولوجيا على باقي مناطق الوطن سواء من خلال ربط السكنات الغير موصولة أو عصرنة الشبكة النحاسية واستبدالها بشبكة الألياف البصرية 🙏نعلمكم اننا نكثف من جهودنا من أجل مواصلة تعميم ونشر هذه التكنولوجيا على باقي مناطق الوطن سواء من خلال ربط السكنات الغير موصولة أو عصرنة الشبكة النحاسية واستبدالها بشبكة الألياف البصرية 🙏
120,Facebook,4,حتى يكتمل ربط ومبعد ديرو عروض ترويجالعملية بطيئة بسبب قلة المقاولينيةالحفر تم المخادع وضعت بقي الربط ممكن في 2050 تلحقو
121,Facebook,4,كي تلحقو الفيبر من بعد ساهل
122,Facebook,4,مناطق الظل تبكي في صمت 😞
123,Facebook,4,بعد ان ابدينا ملاحظة : قامت المصالح التقنية لاتصالات الجزائر بعمليئة تهيئة الحفر لوضع خزانة ايدوم فيبر من خلال وضع االغلاف الاسمنتى الواقى ووضع غطاء حديدى على الحفرة مما يبدو الامر مقبولا ..والاشغال على قدم وساق لايصال الشبكة ..فشكرا لاتصالات الجزائر
124,Facebook,4,غريب امركم صراحه .. كيف يعقل ان الزبون لهذه الدرجه ماش عارف بلي وصلت عنده الياف بصريه . ياك الاشغال في الشارع والبيت والحفر وغيرها.
125,Facebook,4,كي يلحق الفيير وساهل
126,Instagram,4,هنا في الحي تعنا برج الكيفان قايدي كاين لفيبر و درنا طلب قالونا اصبرو مكش لي مودام عندنا خمس اشهر هكا و حنا رحلنا جدد modem nokia هل كاين حل لانو قع الحي راهم متاصلين غير احنا
127,Facebook,4,من 2023 وانتم تقولون لنا ان ربطكم بالالياف البصرية تكون بعد 3 اشهر ههههههه كفاكم وعودًا
128,Facebook,4,شارع من قبل لحبيب بورقيبة و مزال مدرتولناش فيبر adsl تمشي تحت الارض
129,Facebook,4,علبة الألياف البصرية PBO موجودة في الحي لكن في الموقع : خطكم غير مؤهل
130,Facebook,4,Nous ne sommes pas reliés à la fibre pas encore Biskra jusqu'à quand
131,Facebook,4,2025 وما كاش الياف 
132,Facebook,4,خطكم غير مؤهل للاستفادة من خدمة الالياف البصرية في الوقت الحالي
133,Facebook,4,في انتظار توصيلنا بالفيبر .
134,Facebook,4,مزال مربطوناش بالفيبر
135,Facebook,4,وسط المدينة ولا يوجد الفيبر للاسف
136,Facebook,4,الفيبر ......... ساهل
137,Facebook,4,عروض الفيبر كاينة بصح الفيبر مكانش
138,Facebook,4,مزال التوصيل بالكامل واعمدة منتشرة هنا وهناك شوهت القري والمدن الزوخ والفوخ
139,Facebook,4,في حينا عدد السكان معتبر لكن لم يتم تزويد الحي بالانترنات لحد الساعة بالرغم من القيام بكل الاجراءات لكن لا جدوى
140,Facebook,4,السؤال المطروح لماذا ولايات مودام فيبر متوفر والعروض متوفرة ...وولايةمثل أم البواقي منذ شهر ماي 2023 غير متوفر ؟؟؟ الشركة لها إزدواجية فالمعايير
141,Facebook,4,والناس لي موصلتهاش لفيبر معدهاش الحق فالعرض هذا كأي مواطن جزائري آخر
142,Facebook,4,نحيطكم علما بأن ولاية أم البواقي مودام فيبر غير متوفر تماما منذ عدة أشهر
143,Facebook,4,شوقتونا بهذا الفيبر . لكن ما بيدنا حيلة. ما زلنا بالــ adsl. لا يوجد ببلديتنا لا خبر عن الفيبر.
144,Facebook,4,نحيطكم علما بأن ولاية تيزي وزو مودام فيبر غير متوفر تماما منذ جوان الحي مربوط ولكن مودام غير متوفر
145,Facebook,4,حنا نحلو على فيبر ومعطاوناش ولي مش يحوس تحلو فيه
146,Facebook,4,ارواحو اخدمولنا لفيبر وساهلة
147,Facebook,4,مودام فيبر غير متوفر منذ أكثر من خمسة أشهر في الجلفة
148,Facebook,4,هل يعقل قلب مدينة عنابة ما وصلهاش فيبر للان !!!!!
149,Facebook,4,مودام فيبر غير متوفر ولاية الجلفة
150,Facebook,4,جيبونا ليمودام عندنا قريب عامين و حنا نستناو في واد الوحش سكيكده
151,Facebook,4,وينا المودم ولاية الوادي رانا نعانو
152,Instagram,4,اين وعدكم بتغطية الجزائر كاملتا ب fiber
153,Facebook,4,جيجل ماكانش مودام ولا لافيبر في الكثير من الاحياء والله شبعنا
154,Facebook,4,جيبونا الموداااام ولاية الوادي
155,Twitter,4,كي توفروهلنا ممبعد ساهل
156,Facebook,4,قلب مدينة سطيف الفيبر لا يوجد
157,Facebook,4,كي توفرو الفيبر ساهل نشتركو 
158,Facebook,4,وفرولنا مودام الياف البصرية منو نوع zte رانا في 5 اشهر وحنل نستناو مكان والو  واش رايحين نديرو حنا ب مودام 4 جي سرعة تاعو 500 kb/s او عيب عليكم 
159,Facebook,4,رانا نحوسو علي المودام برك نتاع الفيبر
160,Facebook,4,تم ربط لاحياء جديد بالفيبر والقديمة مزالت لم تربط
161,Facebook,4,المودم غير متوفر في ولاية الوادي
162,Facebook,4,واد غير بجاية  المكان أمعذان نحن ننتظر انجاز مشروع الألياف البصرية 
163,Facebook,4,Algérie Télécom - إتصالات الجزائر اي بركاو متمسخرو بناس جيبو ليمودام مبعدا ساهلة
164,Facebook,4,في بلدية برج الغدير ولاية برج بوعريريج الفيبر بالمعريفة والسلام عليكم
165,Facebook,4,تحويل المشتركين تدريجياً إلى تقنية الألياف لو نلاحظ تقدم الاشغال ولو بسرعة السلحفاة سنتفهم أنكم عاجزين و هذا ما تستطيعونه
166,Facebook,4,وصلونا الفيبر اومبعد ساهل
167,Facebook,4,جيبولنا الفيبر ومبعد ساهل .. هاذي سنوات وحنا نعانيو من ضعف الانترنت مع ADSL 😒
168,Facebook,4,وفرولنا الفيبر في الحي تاعنايا اتصالات Algérie Télécom - إتصالات الجزائر 
169,Facebook,4,متى تعميم خطوط فيبر
170,Facebook,4,ماسمعناش بالفيبر
171,Facebook,4,رانا سامعين دخلو الفيبر وساهل
172,Facebook,4,جيبولنا الفيبر ومبعد ساهل .
173,Facebook,4,ارواحو اخدمولنا لفيبر وظرك نستمتعو
174,Facebook,4,بلدية مديونة ولاية غليزان مزال
175,Facebook,4,لم نسمع بالعرض لانه ليس لدينا fibre
176,Facebook,4,جيبولنا الفيبر ومبعد ساهل
177,Instagram,4,فيبر ف روحها ملقيتهاش فحومتنا
178,Twitter,4,وصلونا الالياف  البصرية وموش مشكل
179,Facebook,4,bonjour pourquoi vous prenez autant de temps pour raccorder le fibre optique enface l’hôpital de kouba abbas lghrour svp contactez moi
180,Facebook,4,اظن ان 80 بالمئة من الجزائريين مزال لم يستفيدو من الالياف البصرية للعلم انا نسكن في مدينة بجاية و عندي اصدقاء من كل نواحي المدينة مزال لم يستفيدو منها
181,Facebook,4,اولاد موسى قريب
182,Facebook,4,Algérie Télécom - إتصالات الجزائر من بكري و أنا نتبع ما كان حتى جديد من رمضان لي فات
183,Facebook,4,تعميم الشبكة الجديدة للالياف البصرية يسير بطريقة بطيئة جدا في حاسي بحبح ...نرجو منكم ارسال تنبيه للمسؤولين عليها
184,Facebook,4,وصلتوا الالياف البصرية للاحياء الجديدة فقط، فكرتكم وصلت
185,Facebook,4,كاين فيبر في بلعباس
186,Facebook,4,من اول يوم طلقتو هاذا العرض و انا مداير طلب لكن دايمن نفس الاجابة هاذا العرض غير متوفر لحين تعميم الفيبر عروض بدون خدمات
187,Facebook,4,أنترنت الألياف البصرية مازالت حكرا على مجموعة ..وقتاه توصل للباقي؟
188,Facebook,4,مؤسسة فاشلة ... معظم ولايات الجزائر لم تصلهم الألياف البصرية....ربي يهديكم
189,Facebook,4,بلادية القبة إلى يومنا منعدما من الألياف البصرية مطول بزاف عيونا هدا الشركات الخاصة المكلفة بربط 🤬
190,Facebook,4,الفيبر لم يعمم ياسراق
191,Facebook,4,جاو مليون عرض والفيبر لم يصل بعد
192,Facebook,4,Algérie Télécom - إتصالات الجزائر كي توصلونا الفيبر العرض يكون كمل و شكراً
193,Facebook,4,ديرولنا الفيبر نورمال اومبعد شوفولنا القيمر
194,Facebook,4,Algérie Télécom - إتصالات الجزائر ماضنيتش
195,Facebook,4,نحن سكان طريق الجفن بلدية أولاد دراجولاية المسيلة عندنا أربعة أشهر ملي دفعنا الملفات باش يجو يركبو الألياف البصرية لسكان الحييذكر الي متى أرجو الإجابة 
196,Facebook,4,وين راه لافيبر في قالمة
197,Instagram,4,"Centre-ville te3 sidi bel abbes makench la fibre, bnadem rah y3ani b l'adsl. Vdsl w makench wga3dine tzidou f les offres w les débits w dirou la fibre ghi dans les nouveaux quartiers, w hna f les anciens quartier li houma les plus anciens clients mazelna b l'adsl. Revoyez vos priorités."
198,Facebook,4,"""خطكم غير مؤهل للاستفادة من خدمة الألياف البصرية في الوقت الحالي. سنتصل بكم فور توفر هذه الخدمة."
199,Facebook,9,مشكل في 1.200جيق فيبر مدام نوكيا مخرج الانترنت 1جيق فقط كفاش راح تحلو هذا مشكل ومشكل ثاني فضاء الزبون ميمشيش مندو شهر
200,Facebook,9,فضاء الزبون علاه منقدروش نسجلو فيه رانا نرسلولكم في الخاص ومتجاوبوش علاه
201,Facebook,9,هل موقع فضاء الزبون متوقف
202,Facebook,9,تطبيق my idoom و فضاء الزبون متوقفان ماسبب
203,Facebook,9,الشجرة التي تغطي الغابة : تطبيقكم my idoom و فضاء الزبون لا يعملان منذ أسابيع، بالرغم من التواصل معكم عدة مرات عبر المسنجر و لا حياة لمن تنادي
204,Facebook,9,السلام عليكم لم أستطيع الدخول الى حسابي فضاء الزبون وماإيدوم من فضلكم ماهو الحل كل ماحاولت يطلع الميساج *Cette page n’est pas disponible pour le moment
205,Facebook,9,فضاء الزبون راهو حابس عندو سمانة
206,Facebook,9,حاب نفهم برك بقاولي 5 ايام من اشتارك و يخلاص و نعاود نخلص علاه حبستوه و رجعتو ADSL يعني لغباء هذا علاه حبس الفيدخلت فضاء زبون مزال 5 ايام رحت زهر شعلت ADSL بسك خليتو راكب صح مفيكمش لامان صبتو يمشي و انترنت كاين(و مكلاه تردو عليا ارسل معلوماتك في رسالة بسك تعييو نجو ليكم للمركز و تليكيدو و تقولو غير ايه ايه ساهل )
207,Facebook,9,شكراً لكم، لقد تم حل المشكل لفضاء الزبون الخاص بحساب
208,Facebook,9,لماذا لا يعمل فضاء الزبون
209,Facebook,9,ياودي ها ريڨلونا فضاء الزبون وتطبيق my idoom
210,Facebook,9,هل فضاء الزبون لايعمل
211,Facebook,9,Algérie Télécom - إتصالات الجزائر فضاء الزبون و تطبيق my idoom 
212,Facebook,9,",فضاء الزبون خارج الخدمة منذ وقت طويل، هل من توضيح؟ ارجو عدم نسخ و لصق الجواب المعياري الذي تستخدمونه لكل الأسئلة"
213,Facebook,9,هل هذا استهزاء بالزبائن ام ماذا فضاء الزبون عنده تقريب شهر وهو خارج الخدمة و لم تقوموا بتصليح الخلل و الان تطلبون من الزبون ايفاءكم بمعلوماته رغم انكم تدرون انه خلل عند كل الزبائن و معظمنا قام بالاتصال بكم من اجل ايجاد حل .
214,Facebook,9,فضاء الزبون قرابة 20 يوم متوقف!!!!!!؟؟؟؟؟
215,Facebook,9,فهمونا كيفاش نبدلو رقم الهاتف في فضاء الزبون بعد تغيير الرقم من ADSL الى fibre ولا ما درتوش حسابها
216,Facebook,9,فضاء الزبون مغلوووقالموقع الإلكتروني معطلMy idoom معطلآه يا بلادي آه 🤧
217,Facebook,9,العام و الخاص يعلم بان تطبيق my idoom وحتى موقع فضاء الزبون لا يعملان منذ مدة و الاجابة أرسل معلوماتك في الخاص عوض إصلاح الخلل....
218,Facebook,9,فضاء الزبون لاتصالات الجزائر به خلل، لا يفتح عندي منذ عدة ايام
219,Facebook,9,عندي مشكل مع فضاء الزبون 😤لا استطيع الدخول لحسابي 😑
220,Facebook,9,فضاء الزبون لا يعمل معي منذ أكثر من شهر
221,Facebook,9,وشبيهم جميع المواقع لا تعمل فضاء الزبون و ايدوم و الدفع الالكتروني
222,Facebook,9,Algérie Télécom - إتصالات الجزائر فضاء الزبون و تطبيق my Idoom حابسين !!!!
223,Facebook,9,تطبيق وش بيه حبس فضاء الزابون
224,Facebook,9,تطبيق ايدوم متوقف و فضاء الزبون متوقف
225,Facebook,9,فضاء الزبون لاتصالات الجزائر هل يوجد به خلل، لا يفتح عندي منذ عدة ايام. ارجو الرد من فضلكم.
226,Facebook,9,السيت تاع فضاء الزبون او فالسمانة ما يمشيش
227,Facebook,9,اودي ريقلوا كونكسيون و فضاء الزبون دخلت درت الشكوى من تم رجع منقدرش ندخل ليه
228,Facebook,9,فضاء الزبون منذ التحديث الأخير لايعمل الرجاء إصلاح الخلل
229,Facebook,9,خصنا معرفة عدد المكالامات عبر الهاتف والهاتف النقال في فضاء الزبون اوmy idoom
230,Facebook,9,انا عندي شكوى فضاء الزبون ماشي خدام والرقم الشكاوي ماشي خدام 🙅
231,Facebook,9,متى يتم النضر في مشكلتي ؟ منذ أسبوعين لا أستطيع الدخول إلى فضاء الزبون لا يعمل في الكمبيوتر و لا في التطبيق
232,Facebook,9,فضاء الزبون 14يوم لايعمل
233,Facebook,9,فضاء الزبون عبر الخاص لا يعمل لا يتم الرد
234,Facebook,9,تطبيق ايدوم و فضاء على قوقل لا يعملان
235,Facebook,9,علاش ما قدرتش ندخل في الموقع فضاء الزبائن حبيت نخلص ماراهوش يدخل الكونت ديالي
236,Facebook,9,لماذا. حسابي في فضاء الزبون لا يفتح؟
237,Facebook,9,ما هي المدة الزمنية تع أقرب الآجال عندكم، وما هو سبب التأخير الغير مبرر، 16 مرة وأنا أتواصل معكم عبر هذا الفضاء ودوما نفس الرد، ناهيك عن الوكالة التجارية، ما السبب؟?؟؟??؟؟؟؟?؟
238,Facebook,9,فضاء الزبون لا يعمل عند الكثير
239,Facebook,9,فضاء الزبون راه معطل عند الكثير
240,Facebook,9,فيما يخص فتح حساب فضاء الزبون لقد ذهبت لاتصالات الجزائر لكنهم قالولي لازم تفتح حساب جديد المشكل انني فعلا قمت بفتح حساب جديد و بعثولي رسالة على g.mail من اجل تفعيله و قمت بذلك فعلا لكن عندما ازور صفحة فضاء الزبون و اكتب رقم الزبون و رقم MSISN تخرج لي بأن الصفحة لا تعمل حاليا و هذا منذ اسبوع و انا كل يوم احاول الدخول دون جدوى هل من تفسير او توجيهات
241,Facebook,9,فضاء الزبون سواء التطبيق او المتصفح لا يشتغل ؟!
242,Facebook,9,التطبيق my idomm فضاء الزبون لاتعمل Algérie Télécom - إتصالات الجزائر
243,Facebook,9,"التسجيل في فضاء الزبون معطل، لا يمكنني اتممام العملية لأن ""التحقق"" من الايميل لا يشتغل."
244,Facebook,9,وعلاش كي نجسل في فضاء زبون يقلي تأكيد بريد الكتروني وكي نأكد يبقا نفس مشكل
245,Facebook,9,لانستطيع الولوج لفضاء الزبون من خلال موقع إتصالات الجزائر و تطبيق my idoom وهذا منذ قترة طويلة
246,Facebook,9,تطبيق my idom. لا تعمل خاصية فضاء الزبون.
247,Facebook,9,فضاء الزبون و التطبيق my idoom ( حتى بعد حذف cache ) متوقف منذ مدة؟؟
248,Facebook,9,"موقع ""فضاء الزبون"" لا يعمل منذ اسابيع"
249,Instagram,9,لماذا عملية التسجيل في فضاء الزبون غير متاحة،لقد حاولت التسجيل عدة مرات بدون فائدة.
250,Facebook,9,فضاء الزبون على تطبيق My idoom لا يشتغل منذ مدة طويلة، هل من تدخل ؟
